Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 3;TUNGURAHUA;AMBATO;INCUMPLIMIENTO DE DECISIONES LEGITIMAS DE AUTORIDAD COMPETENTE;5/10/2019;HOMBRE;31;ECUATORIANO
ZONA 1;ESMERALDAS;SAN LORENZO;INCUMPLIMIENTO DE DECISIONES LEGITIMAS DE AUTORIDAD COMPETENTE;5/10/2019;HOMBRE;28;ECUATORIANO
ZONA 9;DMQ;QUITO;ABUSO SEXUAL;4/10/2019;HOMBRE;34;ECUATORIANO
ZONA 5;GUAYAS;MILAGRO;BOLETA DE DETENCIÓN/CAPTURA;5/10/2019;HOMBRE;39;ECUATORIANO
ZONA 5;GUAYAS;PLAYAS;TENENCIA Y PORTE DE ARMAS;4/10/2019;HOMBRE;33;ECUATORIANO
ZONA 5;GUAYAS;PLAYAS;TENENCIA Y PORTE DE ARMAS;4/10/2019;HOMBRE;19;ECUATORIANO
ZONA 5;GUAYAS;PLAYAS;TENENCIA Y PORTE DE ARMAS;4/10/2019;HOMBRE;28;ECUATORIANO
ZONA 1;ESMERALDAS;ELOY ALFARO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/10/2019;HOMBRE;42;ECUATORIANO
ZONA 1;ESMERALDAS;ELOY ALFARO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/10/2019;MUJER;41;ECUATORIANO
ZONA 9;DMQ;QUITO;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;5/10/2019;HOMBRE;22;ECUATORIANO
ZONA 5;LOS RIOS;VINCES;HURTO;5/10/2019;HOMBRE;41;ECUATORIANO
ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;5/10/2019;HOMBRE;26;ECUATORIANO
ZONA 7;EL ORO;PASAJE;ROBO A PERSONAS;4/10/2019;HOMBRE;17;ECUATORIANO
