Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 3;COTOPAXI;LATACUNGA;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;23;ECUATORIANA
ZONA 1;IMBABURA;IBARRA;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;29;ECUATORIANA
ZONA 3;COTOPAXI;LATACUNGA;VARIOS;1/1/2017;BOLETA;HOMBRE;24;ECUATORIANA
ZONA 1;ESMERALDAS;QUININDE;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;42;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;RAPTO;1/1/2017;FLAGRANTE;HOMBRE;;SIN DATO
ZONA 5;SANTA ELENA;LA LIBERTAD;VARIOS;1/1/2017;BOLETA;HOMBRE;30;ECUATORIANA
ZONA 7;LOJA;LOJA;VARIOS;1/1/2017;BOLETA;HOMBRE;28;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;45;ECUATORIANA
ZONA 5;LOS RIOS;VINCES;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;19;ECUATORIANA
ZONA 5;LOS RIOS;BABAHOYO;REBELION Y ATENTADO;1/1/2017;FLAGRANTE;HOMBRE;33;ECUATORIANA
ZONA 3;COTOPAXI;LA MANA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;;ECUATORIANA
ZONA 7;EL ORO;PORTOVELO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;43;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;1/1/2017;BOLETA;HOMBRE;45;ECUATORIANA
ZONA 5;LOS RIOS;BUENA FE;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;18;ECUATORIANA
ZONA 6;MORONA SANTIAGO;MORONA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;22;ECUATORIANA
ZONA 1;ESMERALDAS;QUININDE;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;41;ECUATORIANA
ZONA 8;DMG;DURAN;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;22;ECUATORIANA
ZONA 4;MANABI;MANTA;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;1/1/2017;FLAGRANTE;HOMBRE;41;ECUATORIANA
ZONA 4;MANABI;MANTA;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;1/1/2017;FLAGRANTE;HOMBRE;34;ECUATORIANA
ZONA 5;GUAYAS;DAULE;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;28;ECUATORIANA
ZONA 1;CARCHI;MONTUFAR;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;;COLOMBIANA
ZONA 1;CARCHI;TULCAN;ROBO A PERSONAS;1/1/2017;FLAGRANTE;HOMBRE;;ECUATORIANA
ZONA 1;CARCHI;TULCAN;ROBO A PERSONAS;1/1/2017;FLAGRANTE;HOMBRE;;ECUATORIANA
ZONA 5;LOS RIOS;QUEVEDO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;28;ECUATORIANA
ZONA 5;LOS RIOS;QUEVEDO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;39;ECUATORIANA
ZONA 5;LOS RIOS;QUEVEDO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;51;ECUATORIANA
ZONA 3;TUNGURAHUA;SANTIAGO DE PILLARO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;39;ECUATORIANA
ZONA 1;CARCHI;TULCAN;HURTO;1/1/2017;FLAGRANTE;HOMBRE;39;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;25;ECUATORIANA
