Zona;Subzona;Cantón;presunta_subinfraccion;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 7;EL ORO;HUAQUILLAS;CONTRAVENCIONES DE PRIMERA CLASE;21/2/2020;HOMBRE;17;ECUATORIANO
ZONA 9;DMQ;QUITO;INCUMPLIMIENTO DE DECISIONES LEGÍTIMAS DE AUTORIDAD COMPETENTE;21/3/2020;HOMBRE;24;ECUATORIANO
ZONA 7;EL ORO;PORTOVELO;BOLETA DE APREMIO;1/9/2020;HOMBRE;28;ECUATORIANO
ZONA 7;EL ORO;HUAQUILLAS;CONTRAVENCIONES DE TRÁNSITO DE PRIMERA CLASE;1/3/2020;HOMBRE;19;ECUATORIANO
ZONA 2;PICHINCHA;MEJIA;BOLETA DE APREMIO;19/10/2020;MUJER;58;ECUATORIANO
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;7/11/2020;HOMBRE;18;ECUATORIANO
ZONA 2;PICHINCHA;CAYAMBE;HURTO;12/8/2020;HOMBRE;22;ECUATORIANO
ZONA 1;ESMERALDAS;QUININDE;BOLETA DE APREMIO;15/10/2020;HOMBRE;35;ECUATORIANO
ZONA 9;DMQ;QUITO;LESIONES CAUSADAS POR ACCIDENTE DE TRÁNSITO;28/7/2020;HOMBRE;33;ECUATORIANO
ZONA 5;LOS RIOS;VENTANAS;USURPACIÓN Y SIMULACIÓN DE FUNCIONES PÚBLICAS;2/2/2020;HOMBRE;69;ECUATORIANO
ZONA 5;GUAYAS;SIMON BOLIVAR;RECEPTACIÓN;26/2/2020;HOMBRE;23;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE APREMIO;4/2/2020;HOMBRE;45;ECUATORIANO
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;8/10/2020;HOMBRE;26;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE AUXILIO;27/2/2020;HOMBRE;21;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE APREMIO;29/1/2020;HOMBRE;46;ECUATORIANO
