Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 6;AZUAY;CUENCA;ACOSO SEXUAL;1/1/2019;HOMBRE;25;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;OTROS;1/1/2019;HOMBRE;21;ECUATORIANO
ZONA 5;LOS RIOS;VENTANAS;ROBO DE CARROS;23/2/2019;HOMBRE;33;ECUATORIANO
ZONA 5;LOS RIOS;VENTANAS;HOMICIDIO;27/1/2019;HOMBRE;24;ECUATORIANO
ZONA 7;EL ORO;MACHALA;RECEPTACIÓN;23/1/2019;HOMBRE;18;ECUATORIANO
ZONA 5;LOS RIOS;PUEBLOVIEJO;PROCEDIMIENTOS;1/1/2019;HOMBRE;48;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;OTROS;8/1/2019;HOMBRE;20;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;ACTIVIDAD ILÍCITA DE RECURSOS MINEROS;16/2/2019;HOMBRE;44;COLOMBIANO
ZONA 1;CARCHI;ESPEJO;NOVEDADES;27/1/2019;HOMBRE;23;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TENENCIA Y PORTE DE ARMAS;10/2/2019;HOMBRE;28;ECUATORIANO
ZONA 5;GUAYAS;NARANJITO;NOVEDADES;12/2/2019;HOMBRE;17;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;8/2/2019;HOMBRE;21;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;BOLETA DE DETENCIÓN/CAPTURA;3/2/2019;HOMBRE;42;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ROBO A UNIDADES ECONOMICAS;9/1/2019;HOMBRE;21;ECUATORIANO
ZONA 9;DMQ;QUITO;PROCEDIMIENTOS;13/1/2019;HOMBRE;38;ECUATORIANO
ZONA 9;DMQ;QUITO;HURTO;17/2/2019;MUJER;38;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;13/2/2019;MUJER;38;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;BOLETA DE AUXILIO;21/1/2019;HOMBRE;52;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;3/2/2019;MUJER;45;ECUATORIANO
ZONA 2;PICHINCHA;RUMINAHUI;BOLETA DE APREMIO;30/1/2019;HOMBRE;52;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;BOLETA DE APREMIO;27/2/2019;HOMBRE;52;ECUATORIANO
ZONA 9;DMQ;QUITO;INFRACCIONES DE TRANSITO;15/2/2019;HOMBRE;33;ECUATORIANO
ZONA 5;GUAYAS;LOMAS DE SARGENTILLO;BOLETA DE APREMIO;4/2/2019;HOMBRE;42;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;9/2/2019;HOMBRE;29;ECUATORIANO
